Period,Reach,Replicate,Season,Biomassg_m2,Resource
Before,Control,1,Autumn,2.08333333333333,CPOM
Before,Control,2,Autumn,1.22222222222222,CPOM
Before,Control,3,Autumn,5.4,CPOM
Before,Control,4,Autumn,1.66666666666667,CPOM
Before,Control,5,Autumn,8.27956989222222,CPOM
Before,Control,6,Autumn,6,CPOM
Before,Control,7,Autumn,26.1014772,CPOM
Before,Control,8,Autumn,18.4,CPOM
Before,Control,9,Autumn,2.50694444444444,CPOM
Before,Impact,2,Autumn,7.31590413888889,CPOM
Before,Impact,3,Autumn,22.3645833333333,CPOM
Before,Impact,1,Autumn,45.2238806,CPOM
Before,Impact,4,Autumn,5.35353535333333,CPOM
Before,Impact,5,Autumn,59.7728813555556,CPOM
Before,Impact,6,Autumn,54.7710007888889,CPOM
Before,Impact,7,Autumn,2.64444444444444,CPOM
Before,Impact,8,Autumn,24.1329966333333,CPOM
Before,Impact,9,Autumn,58.7245696444445,CPOM
Before,Control,1,Winter,0,CPOM
Before,Control,2,Winter,0.444444444444444,CPOM
Before,Control,3,Winter,1.04761904766667,CPOM
Before,Control,4,Winter,0.222222222222222,CPOM
Before,Control,6,Winter,0.444444444444444,CPOM
Before,Control,5,Winter,1,CPOM
Before,Control,7,Winter,4.66666666666667,CPOM
Before,Control,8,Winter,1.88888888888889,CPOM
Before,Control,9,Winter,0,CPOM
Before,Impact,3,Winter,4.24836601333333,CPOM
Before,Impact,2,Winter,3.22666666666667,CPOM
Before,Impact,1,Winter,6.88888888888889,CPOM
Before,Impact,4,Winter,3.46296296333333,CPOM
Before,Impact,5,Winter,0.777777777777778,CPOM
Before,Impact,6,Winter,2.11111111111111,CPOM
Before,Impact,9,Winter,8.03252032555556,CPOM
Before,Impact,7,Winter,2.33333333333333,CPOM
Before,Impact,8,Winter,39.0148148111111,CPOM
Before,Impact,1,Spring,0.993687074777778,CPOM
Before,Impact,2,Spring,0.408888888888889,CPOM
Before,Impact,3,Spring,1.17333333333333,CPOM
Before,Impact,4,Spring,15.1399459222222,CPOM
Before,Impact,5,Spring,1.12046482,CPOM
Before,Impact,6,Spring,1.05444444444444,CPOM
Before,Impact,7,Spring,8.56348944444444,CPOM
Before,Impact,8,Spring,2.63522349888889,CPOM
Before,Impact,9,Spring,0.822222222222222,CPOM
Before,Control,1,Spring,0.381111111111111,CPOM
Before,Control,2,Spring,5.14941538444444,CPOM
Before,Control,3,Spring,0.501111111111111,CPOM
Before,Control,4,Spring,20.9362222222222,CPOM
Before,Control,5,Spring,3.79491298555556,CPOM
Before,Control,6,Spring,0.0355555555555556,CPOM
Before,Control,7,Spring,1.69358490555556,CPOM
Before,Control,8,Spring,0.0933333333333334,CPOM
Before,Control,9,Spring,0.0433333333333333,CPOM
After,Control,2,Autumn,7.19494569,CPOM
After,Control,1,Autumn,3.96770236333333,CPOM
After,Control,3,Autumn,16.2761905777778,CPOM
After,Control,4,Autumn,1.98222222222222,CPOM
After,Control,5,Autumn,10.6180022444444,CPOM
After,Control,6,Autumn,36.5391754555556,CPOM
After,Control,7,Autumn,32.0408271555556,CPOM
After,Control,8,Autumn,72.5675233111111,CPOM
After,Control,9,Autumn,139.539955555556,CPOM
After,Impact,2,Autumn,5.03525918222222,CPOM
After,Impact,4,Autumn,18.9180309111111,CPOM
After,Impact,1,Autumn,1.41099367666667,CPOM
After,Impact,3,Autumn,25.6572193444444,CPOM
After,Impact,8,Autumn,22.9909824444444,CPOM
After,Impact,9,Autumn,51.1082826777778,CPOM
After,Impact,5,Autumn,52.3916821666667,CPOM
After,Impact,7,Autumn,56.4402501888889,CPOM
After,Impact,6,Autumn,78.8025333333333,CPOM
After,Control,7,Winter,0.104444444444444,CPOM
After,Control,8,Winter,0.814444444444445,CPOM
After,Control,9,Winter,0.742222222222222,CPOM
After,Control,4,Winter,13.0367072444444,CPOM
After,Control,5,Winter,1.99503619,CPOM
After,Control,6,Winter,3.36211462888889,CPOM
After,Control,3,Winter,2.27941892444444,CPOM
After,Control,2,Winter,0.421062271111111,CPOM
After,Control,1,Winter,0.597777777777778,CPOM
After,Impact,7,Winter,3.43715394777778,CPOM
After,Impact,8,Winter,6.51249683111111,CPOM
After,Impact,9,Winter,6.52166813555556,CPOM
After,Impact,1,Winter,1.87248456777778,CPOM
After,Impact,2,Winter,3.85674174888889,CPOM
After,Impact,3,Winter,7.62050196666667,CPOM
After,Impact,4,Winter,2.00748806111111,CPOM
After,Impact,5,Winter,0.863333333333333,CPOM
After,Impact,6,Winter,6.32036572,CPOM
After,Impact,2,Spring,0.934905263111111,CPOM
After,Impact,3,Spring,1.31064192777778,CPOM
After,Impact,7,Spring,8.03402583333333,CPOM
After,Impact,9,Spring,8.54972239333333,CPOM
After,Impact,8,Spring,0.588888888888889,CPOM
After,Impact,6,Spring,1.60021265333333,CPOM
After,Impact,1,Spring,3.77142857111111,CPOM
After,Impact,5,Spring,9.59059868888889,CPOM
After,Impact,4,Spring,14.3333333333333,CPOM
After,Control,2,Spring,1.98333333333333,CPOM
After,Control,1,Spring,2.47333333333333,CPOM
After,Control,6,Spring,8.40555555555556,CPOM
After,Control,5,Spring,6.69188580666667,CPOM
After,Control,9,Spring,0.06,CPOM
After,Control,8,Spring,0.576666666666667,CPOM
After,Control,7,Spring,1.11111111111111,CPOM
After,Control,3,Spring,5.67117866222222,CPOM
After,Control,4,Spring,7.01471887888889,CPOM
Before,Control,1,Autumn,1.639,Biofilm
Before,Control,2,Autumn,0.877,Biofilm
Before,Control,3,Autumn,1.441,Biofilm
Before,Control,4,Autumn,0.802,Biofilm
Before,Control,5,Autumn,2.173,Biofilm
Before,Impact,1,Autumn,0.807,Biofilm
Before,Impact,2,Autumn,0.609,Biofilm
Before,Impact,3,Autumn,1.526,Biofilm
Before,Impact,4,Autumn,0.804,Biofilm
Before,Impact,5,Autumn,0.471,Biofilm
Before,Control,1,Winter,0.288,Biofilm
Before,Control,2,Winter,0.417,Biofilm
Before,Control,3,Winter,0.328,Biofilm
Before,Control,4,Winter,1.238,Biofilm
Before,Control,5,Winter,1.839,Biofilm
Before,Impact,1,Winter,0.215,Biofilm
Before,Impact,2,Winter,0.259,Biofilm
Before,Impact,3,Winter,0.56,Biofilm
Before,Impact,4,Winter,0.259,Biofilm
Before,Impact,5,Winter,0.308,Biofilm
Before,Control,1,Spring,0.252,Biofilm
Before,Control,2,Spring,0.445,Biofilm
Before,Control,3,Spring,0.334,Biofilm
Before,Control,4,Spring,0.201,Biofilm
Before,Control,5,Spring,0.235,Biofilm
Before,Impact,1,Spring,0.249,Biofilm
Before,Impact,2,Spring,0.435,Biofilm
Before,Impact,3,Spring,0.541,Biofilm
Before,Impact,4,Spring,0.555,Biofilm
Before,Impact,5,Spring,0.745,Biofilm
After,Control,1,Autumn,1.746,Biofilm
After,Control,2,Autumn,1.704,Biofilm
After,Control,3,Autumn,0.981,Biofilm
After,Control,4,Autumn,1.284,Biofilm
After,Control,5,Autumn,1.609,Biofilm
After,Impact,1,Autumn,0.637,Biofilm
After,Impact,2,Autumn,1.405,Biofilm
After,Impact,3,Autumn,2.536,Biofilm
After,Impact,4,Autumn,6.494,Biofilm
After,Impact,5,Autumn,4.931,Biofilm
After,Control,1,Winter,0.66,Biofilm
After,Control,2,Winter,0.723,Biofilm
After,Control,3,Winter,1.374,Biofilm
After,Control,4,Winter,0.482,Biofilm
After,Control,5,Winter,0.781,Biofilm
After,Impact,1,Winter,2.659,Biofilm
After,Impact,2,Winter,1.421,Biofilm
After,Impact,3,Winter,1.157,Biofilm
After,Impact,4,Winter,2.273,Biofilm
After,Impact,5,Winter,1.013,Biofilm
After,Control,1,Spring,0.649,Biofilm
After,Control,2,Spring,1.051,Biofilm
After,Control,3,Spring,0.278,Biofilm
After,Control,4,Spring,0.846,Biofilm
After,Control,5,Spring,0.704,Biofilm
After,Impact,1,Spring,0.573,Biofilm
After,Impact,2,Spring,1.274,Biofilm
After,Impact,3,Spring,0.42,Biofilm
After,Impact,4,Spring,0.772,Biofilm
After,Impact,5,Spring,1.442,Biofilm
